"Resp_id1","strata","bra10grp","aldergrp","udgrp","loengrp","int_resultat","metode","pervgt","A1","A1a","A3","A4","A5","A7","A8","A9","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","B13","B14","B15","C1","C2","C3","C4","C5","D1","D2","D3","D4","E3","E3a","E3b","E3c","E4","E4a","E4b","E4c","E1","E1a","E1b","E1c","E2","E2a","E2b","E2c","F1","F1a","F1b","F1c","F2","F2a","F2b","F2c","G1","G1a","G1b","G1c","G2","G2a","G2b","G2c","G3","G3a","G3b","G3c","H1","H2","H3","H4","J1","J2","ISCO_NU","ISCO_DA"
"LS340112",5,"9 Offentlig administration, undervisning og sundhed",2,2,3,1,1,972.5253535,1,NA,71,NA,1,1,1,1,2,2,1,5,3,1,4,3,3,3,3,5,3,5,5,3,3,3,3,3,1,4,2,3,4,3,NA,NA,5,3,NA,NA,2,3,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,9,9,NA,NA,5,3,NA,NA,NA,NA,NA,NA,71,1,4120,9999
"LS341049",3,"5 Information og kommunikation",1,2,2,1,1,3027.501438,1,NA,33,NA,2,NA,NA,NA,2,3,3,3,3,2,4,2,1,2,1,2,2,2,3,NA,NA,NA,NA,NA,1,5,2,2,2,NA,1,2,2,NA,1,1,3,NA,2,2,1,NA,1,1,5,NA,NA,NA,5,NA,NA,NA,2,NA,2,2,4,NA,NA,NA,1,NA,2,2,NA,NA,NA,NA,42,2,3322,9999
"LS342420",8,"9 Offentlig administration, undervisning og sundhed",2,3,4,1,1,998.5319806,1,NA,48,NA,1,2,2,2,2,2,2,3,2,2,4,3,4,2,2,3,1,5,3,2,2,2,1,1,1,5,2,2,2,2,3,1,5,3,NA,NA,5,3,NA,NA,1,3,3,1,5,2,NA,NA,5,3,NA,NA,5,2,NA,NA,5,3,NA,NA,5,2,NA,NA,NA,NA,NA,NA,22,3,2310,2212
"LS343166",10,"9 Offentlig administration, undervisning og sundhed",1,3,1,1,1,1565.087973,1,NA,48,NA,1,1,1,1,4,2,2,2,1,2,2,2,2,2,2,3,9,5,5,3,3,3,3,3,2,4,2,2,2,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,48,1,9705,9999
"LS343520",4,"9 Offentlig administration, undervisning og sundhed",2,2,2,1,1,1354.692186,1,NA,74,NA,1,2,2,1,1,1,1,2,2,2,2,2,3,1,2,2,3,5,4,3,1,2,1,1,2,5,4,2,3,1,1,1,5,3,NA,NA,5,3,NA,NA,1,1,1,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,74,2,5321,5321
"LS343610",8,"9 Offentlig administration, undervisning og sundhed",1,3,4,1,2,1822.247406,2,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,2,48,3,9999,9999
"LS345331",5,"9 Offentlig administration, undervisning og sundhed",3,3,2,1,1,2124.951005,1,NA,86,NA,1,1,1,1,1,1,1,4,1,2,5,2,4,4,1,4,5,5,2,1,1,3,2,2,3,2,2,4,2,1,1,1,5,3,NA,NA,1,3,1,1,1,3,1,1,4,3,NA,NA,1,8,8,8,8,8,NA,NA,8,8,NA,NA,8,8,NA,NA,NA,NA,NA,NA,998,8,2264,9999
"LS345982",6,"4 Handel og transport mv.",3,2,4,1,2,391.4285186,1,NA,60,NA,1,1,1,1,1,1,2,1,3,2,3,4,4,3,5,5,4,5,2,1,3,2,2,3,2,4,2,3,4,2,NA,NA,5,3,NA,NA,5,3,NA,NA,4,2,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,60,3,8332,8332
"LS346156",8,"8 Erhvervsservice",1,2,2,1,1,2124.42769,1,NA,84,NA,1,1,1,1,1,1,4,2,5,5,2,2,1,2,5,5,5,5,3,3,3,3,3,3,2,3,3,3,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,84,1,5322,5322
"LS346458",10,"9 Offentlig administration, undervisning og sundhed",2,2,2,1,2,900.4901431,1,NA,70,NA,1,1,1,1,1,2,2,3,3,3,3,3,2,2,3,4,3,5,4,3,3,3,3,3,1,4,3,3,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,3,3,1,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,69,3,3344,3344
"LS347460",8,"8 Erhvervsservice",2,2,4,1,2,1142.690268,1,NA,22,NA,1,2,2,2,3,2,1,5,1,2,4,4,3,3,3,3,3,5,4,3,3,3,1,1,2,3,2,2,1,3,1,1,5,2,NA,NA,4,2,NA,NA,3,3,1,1,5,3,NA,NA,5,3,NA,NA,4,1,NA,NA,3,1,1,1,5,3,NA,NA,NA,NA,NA,NA,71,3,1223,1330
"LS347529",8,"8 Erhvervsservice",2,3,4,1,2,1104.904573,1,NA,48,NA,1,1,1,1,2,2,1,5,1,2,5,4,2,4,2,3,2,5,4,3,1,3,3,2,2,5,3,3,2,1,3,2,5,3,NA,NA,5,3,NA,NA,1,1,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,48,1,2310,2310
"LS347716",6,"9 Offentlig administration, undervisning og sundhed",2,3,2,1,2,1413.231148,1,NA,11,NA,1,1,1,1,1,2,3,3,2,2,4,2,4,5,4,2,1,4,2,1,1,3,3,3,4,5,5,3,4,1,NA,NA,5,3,NA,NA,5,3,NA,NA,2,3,2,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,89,3,2221,2221
"LS347962",7,"9 Offentlig administration, undervisning og sundhed",2,2,3,1,2,2647.662206,1,NA,23,NA,1,1,1,1,1,3,1,4,1,2,5,3,2,3,3,3,2,4,3,3,3,3,3,3,2,4,3,3,3,1,1,1,1,1,1,1,2,1,3,1,2,1,3,1,5,3,NA,NA,5,3,NA,NA,3,1,3,1,4,2,NA,NA,5,3,NA,NA,NA,NA,NA,NA,54,2,2634,2634
"LS348051",8,"8 Erhvervsservice",3,1,2,1,1,1186.288274,1,NA,23,NA,1,1,1,1,1,1,1,4,1,1,5,3,2,2,3,5,3,5,5,3,3,3,3,3,1,4,2,2,1,3,3,1,5,3,NA,NA,1,3,3,1,1,3,1,1,5,3,NA,NA,5,3,NA,NA,1,3,3,1,1,3,1,1,5,3,NA,NA,NA,NA,NA,NA,23,3,4311,4311
"LS348181",4,"8 Erhvervsservice",2,3,4,1,2,1053.322518,1,NA,98,NA,1,1,1,1,2,1,1,4,1,2,3,4,2,1,2,2,2,4,4,1,1,2,1,1,1,4,2,2,1,2,3,1,2,1,3,1,2,1,3,1,4,2,NA,NA,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,4,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,98,2,1219,1219
"LS349876",8,"10 Kultur, fritid og anden service",2,2,1,1,2,1194.339673,1,NA,17,NA,1,2,2,2,1,1,1,3,1,2,2,1,4,2,1,3,3,5,4,1,1,1,1,2,2,5,4,5,4,3,NA,NA,5,3,NA,NA,5,1,NA,NA,1,1,3,2,5,3,NA,NA,5,3,NA,NA,1,1,2,1,5,2,NA,NA,1,1,2,1,NA,NA,NA,NA,36,3,5322,2320
"LS350050",8,"9 Offentlig administration, undervisning og sundhed",2,2,2,1,2,1194.339673,1,NA,7,NA,1,1,1,1,2,2,2,2,3,3,3,3,3,4,3,2,4,4,4,1,2,1,2,2,3,5,4,3,4,2,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,7,3,2265,2265
"LS350737",9,"9 Offentlig administration, undervisning og sundhed",3,3,4,1,2,765.767484,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,6,6,45,3,9999,9999
"LS352074",8,"8 Erhvervsservice",2,2,3,1,2,1142.690268,1,NA,22,NA,1,2,2,2,1,2,2,2,2,2,2,3,3,1,2,2,3,5,3,1,1,2,1,1,1,3,2,2,2,1,2,1,1,3,2,1,4,1,NA,NA,2,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,3,3,3,1,5,3,NA,NA,NA,NA,NA,NA,48,2,3343,4120
"LS357483",8,"4 Handel og transport mv.",3,2,4,1,2,817.443146,1,NA,40,NA,1,2,2,2,1,1,1,3,2,2,3,2,2,2,3,3,4,5,5,3,3,3,3,3,2,4,3,3,2,3,3,1,5,3,NA,NA,1,3,3,1,1,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,48,3,2529,2529
